icao,lon
KEDC,-97.5669
KEDW,-117.8864
KEED,-114.623
KEEN,-72.2708
KEFD,-95.1588
KEGE,-106.918
KEGI,-86.5229
KEKA,-124.113
KEKN,-79.8577
KEKO,-115.792
KELD,-92.8133
KELM,-76.8916
KELO,-91.8307
KELP,-106.3756
KELY,-114.842
KEND,-97.9165
KENV,-114.031
KENW,-87.9278
KERI,-80.1739
KESC,-87.0886
KESF,-92.2941
KEUG,-123.212
KEVV,-87.5324
KEVW,-111.035
KEWB,-70.9569
KEWN,-77.0429
KEWR,-74.1705
KEYW,-81.7596
KFAF,-76.6088
KFAR,-96.8158
KFAT,-119.718
KFAY,-78.8803
KFBG,-78.9367
KFCS,-104.757
KFDY,-83.6687
KFFO,-84.0483
KFHR,-123.0246
KFHU,-110.3482
KFKL,-79.8604
KFLG,-111.6698
KFLL,-80.1527
KFLO,-79.7239
KFME,-76.7594
KFMN,-108.23
KFMY,-81.8633
KFNL,-105.0113
KFNT,-83.7434
KFOD,-94.1912
KFOE,-95.6636
KFPR,-80.3683
KFRG,-73.4143
KFRI,-96.7642
KFSD,-96.7412
KFSI,-98.4022
KFSM,-94.3674
KFST,-102.916
KFTK,-85.9721
KFTW,-97.3608
KFTY,-84.5214
KFWA,-85.1945
KFXE,-80.1707
KFYV,-94.1701
KGCC,-105.539
KGCK,-100.724
KGCN,-112.147
KGDV,-104.8069
KGEG,-117.534
KGFK,-97.1761
KGFL,-73.6103
KGGG,-94.7115
KGGW,-106.615
KGJT,-108.5294
KGLD,-101.6998
KGLH,-90.9856
KGLS,-94.8604
KGMU,-82.3502
KGNV,-82.2718
KGON,-72.0451
KGPI,-114.256
KGPT,-89.0698
KGRB,-88.1308
KGRF,-122.581
KGRI,-98.3096
KGRK,-97.8289
KGRR,-85.5228
KGSB,-77.9606
KGSO,-79.9373
KGSP,-82.2189
KGTB,-75.7195
KGTF,-111.371
KGTR,-88.5914
KGUC,-106.9346
KGUP,-108.7882
KGUS,-86.1521
KGUY,-101.508
KGWO,-90.0882
KGYI,-96.6737
KGYY,-87.4132
KHBG,-89.2528
KHBR,-99.0513
KHDN,-107.218
KHEF,-77.5154
KHFD,-72.6494
KHGR,-77.728
KHHR,-118.335
KHIB,-92.8369
KHIF,-111.9731
KHII,-114.3577
KHIO,-122.95
KHKY,-81.3895
KHLG,-80.6463
KHLN,-111.983
KHMN,-106.107
KHOB,-103.217
KHON,-98.2285
KHOP,-87.4897
KHOT,-93.0963
KHOU,-95.2768
KHPN,-73.7076
KHQM,-123.937
KHRL,-97.6544
KHRO,-93.1547
KHST,-80.3836
KHSV,-86.7744
KHTS,-82.558
KHUA,-86.6848
KHUL,-67.7921
KHUT,-97.8606
KHVN,-72.8877
KHVR,-109.7629
KHWO,-80.2407
KHXD,-80.6975
KHYA,-70.2804
KHYR,-91.4443
KHYS,-99.2731
KHZY,-80.6955
KIAB,-97.2682
KIAD,-77.4558
KIAG,-78.9462
KIAH,-95.3414
KICT,-97.4286
KIDA,-112.071
KIFP,-114.5593
KIGM,-113.938
KIKK,-87.8463
KILG,-75.6065
KILM,-77.9051
KILN,-83.7921
KIMT,-88.1146
KIND,-86.2944
KINK,-103.201
KINL,-93.4031
KINT,-80.222
KINW,-110.723
KIPL,-115.574
KIPT,-76.9224
KIRK,-92.5449
KISM,-81.4371
KISO,-77.6088
KISP,-73.1017
KITH,-76.4584
KIWA,-111.655
KJAC,-110.738
KJAN,-90.0759
KJAX,-81.6878
KJBR,-90.6464
KJCT,-99.7635
KJFK,-73.7793
KJHW,-79.254
KJLN,-94.4983
KJMS,-98.6782
KJQF,-80.7091
KJST,-78.8339
KJXN,-84.463
KKLS,-122.898
KLAA,-102.6914
KLAF,-86.9394
KLAL,-82.0207
KLAN,-84.5857
KLAR,-105.675
KLAS,-115.1518
KLAW,-98.4166
KLAX,-118.408
KLBB,-101.823
KLBE,-79.4048
KLBF,-100.684
KLBL,-100.96
KLBT,-79.0594
KLBX,-95.4621
KLCH,-93.2233
KLCK,-82.9278
KLEB,-72.3042
KLEE,-81.8087
KLEX,-84.6067
KLFI,-76.3605
KLFK,-94.75
KLFT,-91.9876
KLGA,-73.8726
KLGB,-118.1499
KLGU,-111.852
KLIT,-92.2236
KLMT,-121.733
KLND,-108.73
KLNK,-96.7618
KLNS,-76.2961
KLOL,-118.565
KLOU,-85.6637
KLOZ,-84.0849
KLRD,-99.4616
KLRF,-92.1497
KLRU,-106.922
KLSE,-91.2567
KLSF,-84.988
KLSV,-115.034
KLTS,-99.2667
KLUF,-112.383
KLUK,-84.4189
KLVM,-110.448
KLVS,-105.142
KLWB,-80.4004
KLWM,-71.1234
KLWS,-117.015
KLWT,-109.4661
KLYH,-79.2004
KMAF,-102.202
KMBG,-100.408
KMBS,-84.0831
KMCB,-90.4719
KMCC,-121.401
KMCE,-120.514
KMCF,-82.5212
KMCI,-94.7139
KMCK,-100.5928
KMCN,-83.6492
KMCO,-81.309
KMCW,-93.3297
KMDH,-89.252
KMDT,-76.7623
KMDW,-87.7524
KMEI,-88.7519
KMEM,-89.9763
KMER,-120.568
KMFD,-82.5166
KMFE,-98.238
KMFR,-122.873
KMGC,-86.8212
KMGE,-84.5163
KMGM,-86.394
KMGW,-79.9176
KMHK,-96.6708
KMHR,-121.298
KMHT,-71.4357
KMHV,-118.1453
KMIA,-80.2898
KMIB,-101.358
KMIE,-85.3959
KMIV,-75.0722
KMKC,-94.5928
KMKE,-87.8966
KMKG,-86.2382
KMKL,-88.9156
KMLB,-80.6411
KMLC,-95.7835
KMLI,-90.5075
KMLS,-105.8854
KMLU,-92.0377
KMMH,-118.8431
KMMT,-80.8013
KMMU,-74.4149
KMMV,-123.136
KMOB,-88.2428
KMOD,-120.954
KMOT,-101.2791
KMPV,-72.5623
KMQY,-86.5201
KMRB,-77.9846
KMRY,-121.8442
KMSL,-87.613
KMSN,-89.3375
KMSO,-114.0911
KMSP,-93.2217
KMSS,-74.8443
KMSY,-90.2647
KMTC,-82.8369
KMTH,-81.0514
KMTJ,-107.894
KMTN,-76.4138
KMUI,-76.5687
KMUO,-115.872
KMWA,-89.0166
KMWH,-119.32
KMWL,-98.0602
KMXF,-86.3658
KMYL,-116.1011
KMYR,-78.9283
KMYV,-121.57
KNBG,-90.035
KNCA,-77.4397
KNEL,-74.3533
KNEW,-90.0283
KNFL,-118.701
KNFW,-97.4415
KNGP,-97.2911
KNGU,-76.2893
KNHK,-76.4118
KNIP,-81.6806
KNJK,-115.672
KNKT,-76.8807
KNKX,-117.143
KNLC,-119.952
KNPA,-87.3186
KNQA,-89.8703
KNQI,-97.8097
KNQX,-81.6889
KNRB,-81.4247
KNSE,-87.0219
KNTD,-119.121
KNTU,-76.0335
KNUQ,-122.049
KNUW,-122.656
KNYG,-77.3053
KNYL,-114.6094
KNZY,-117.215
KOAJ,-77.6121
KOAK,-122.2212
KOFF,-95.9085
KOFK,-97.4351
KOGB,-80.8595
KOGD,-112.012
KOGS,-75.4655
KOKB,-117.3517
KOKC,-97.5982
KOLF,-105.575
KOLM,-122.903
KOLS,-110.848
KOLU,-97.3402
KOMA,-95.8941
KONO,-117.0133
KONP,-124.058
KONT,-117.601
KOPF,-80.2784
KOQU,-71.4121
KORD,-87.9048
KORF,-76.201
KORH,-71.8757
KORL,-81.3329
KORS,-122.91
KOSH,-88.557
KOSU,-83.073
KOTH,-124.246
KOTM,-92.4498
KOWB,-87.1668
KOWD,-71.1729
KOXB,-75.124
KOXR,-119.207
KOZR,-85.7134
KPAE,-122.282
KPAH,-88.7738
KPAM,-85.5754
KPAO,-122.115
KPBF,-91.9356
KPBG,-73.4681
KPCW,-82.8683
KPDK,-84.3021
KPDT,-118.841
KPDX,-122.598
KPGA,-111.4477
KPGD,-81.9905
KPGV,-77.3843
KPHF,-76.493
KPHL,-75.2411
KPHX,-112.0059
KPIA,-89.6926
KPIB,-89.3371
KPIE,-82.6874
KPIH,-112.596
KPIR,-100.286
KPIT,-80.2329
KPKB,-81.4392
KPLN,-84.7967
KPMD,-118.085
KPNA,-109.807
KPNC,-97.0998
KPNE,-75.0106
KPNS,-87.1866
KPOB,-79.0145
KPOE,-93.1917
KPOU,-73.8842
KPQI,-68.0448
KPRB,-120.627
KPRC,-112.4199
KPRX,-95.4508
KPSC,-119.119
KPSM,-70.8233
KPSP,-116.507
KPTK,-83.4201
KPUB,-104.497
KPUW,-117.1116
KPVD,-71.4257
KPVU,-111.7224
KPWM,-70.3093
KPWT,-122.765
KRAL,-117.445
KRAP,-103.057
KRBL,-122.252
KRCA,-103.104
KRDD,-122.293
KRDG,-75.9652
KRDM,-121.15
KRDR,-97.4012
KRDU,-78.7873
KRFD,-89.0972
KRHI,-89.4675
KRIC,-77.3197
KRIL,-107.727
KRIV,-117.259
KRIW,-108.46
KRKD,-69.0992
KRKS,-109.065
KRME,-75.407
KRMG,-85.158
KRND,-98.2789
KRNH,-92.5381
KRNO,-119.768
KROA,-79.9754
KROC,-77.6724
KROW,-104.531
KRSL,-98.8118
KRST,-92.5
KRSW,-81.7528
KRUT,-72.9496
KRVS,-95.9846
KRWF,-95.0823
KRWI,-77.8919
KRWL,-107.2
KSAC,-121.493
KSAF,-106.089
KSAN,-117.19
KSAT,-98.4698
KSAV,-81.2
KSAW,-87.3959
KSBA,-119.84
KSBD,-117.2366
KSBN,-86.3169
KSBP,-120.642
KSBY,-75.5103
KSCH,-73.9289
KSCK,-121.2381
KSDF,-85.7351
KSDM,-116.98
KSDY,-104.1944
KSEA,-122.3103
KSFB,-81.2346
KSFF,-117.3219
KSFO,-122.3748
KSGF,-93.3886
KSGH,-83.8402
KSGJ,-81.3398
KSGR,-95.6565
KSGU,-113.5103
KSHD,-78.8964
KSHR,-106.98
KSHV,-93.8267
KSJC,-121.9292
KSJT,-100.496
KSKA,-117.656
KSKF,-98.5811
KSKX,-105.6775
KSLC,-111.9799
KSLE,-123.003
KSLI,-118.0503
KSLK,-74.2046
KSLN,-97.6522
KSME,-84.6159
KSMF,-121.591
KSMN,-113.882
KSMO,-118.451
KSMX,-120.457
KSNA,-117.8693
KSNS,-121.606
KSNY,-102.985
KSOW,-110.0071
KSPI,-89.6779
KSPS,-98.4919
KSQL,-122.2508
KSRQ,-82.5544
KSRR,-105.535
KSSC,-80.4706
KSSF,-98.4711
KSSI,-81.3913
KSTC,-94.0599
KSTJ,-94.9097
KSTL,-90.37
KSTP,-93.06
KSTS,-122.813
KSUN,-114.296
KSUS,-90.652
KSUU,-121.927
KSUX,-96.3822
KSVC,-108.1547
KSVN,-81.1457
KSVR,-111.993
KSWF,-74.1089
KSWO,-97.0856
KSYR,-76.1063
KSZL,-93.5479
KTBN,-92.1407
KTCC,-103.603
KTCL,-87.6114
KTCM,-122.476
KTCS,-107.272
KTEB,-74.0608
KTEX,-107.908
KTIK,-97.3866
KTIW,-122.5773
KTIX,-80.7992
KTLH,-84.3543
KTMB,-80.4328
KTOI,-86.0121
KTOL,-83.8078
KTOP,-95.6226
KTPA,-82.5332
KTPH,-117.087
KTPL,-97.4078
KTRI,-82.4074
KTRK,-120.1406
KTRM,-116.16
KTTD,-122.401
KTTN,-74.8135
KTUL,-95.8862
KTUP,-88.7699
KTUS,-110.9381
KTVC,-85.5822
KTVF,-96.185
KTVL,-119.995
KTWF,-114.488
KTXK,-93.991
KTYR,-95.4024
KTYS,-83.994
KUIN,-91.1946
KUKI,-123.201
KUNV,-77.8485
KUOX,-89.5368
KUTS,-95.5872
KUUU,-71.281
KVAD,-83.193
KVBG,-120.584
KVCT,-96.9185
KVEL,-109.5117
KVGT,-115.194
KVIS,-119.393
KVLD,-83.2767
KVNY,-118.49
KVOK,-90.2534
KVPS,-86.5158
KVPZ,-87.0071
KVQQ,-81.8767
KVRB,-80.4179
KVTN,-100.5492
KWJF,-118.219
KWMC,-117.806
KWRB,-83.5919
KWRI,-74.5917
KWRL,-107.951
KWST,-71.8034
KWWD,-74.9083
KWWR,-99.5227
KWYS,-111.118
KXMR,-80.5666
KXNA,-94.3068
KXWA,-103.7512
KYIP,-83.5304
KYKM,-120.544
KYKN,-97.3859
KYNG,-80.6791
KZZV,-81.8921
LAKU,20.416
LAKV,19.9019
LATI,19.7206
LBBG,27.5152
LBGO,25.7129
LBPD,24.8508
LBPG,24.714
LBPL,24.5024
LBSF,23.4177
LBWB,28.1813
LBWN,27.8251
LCEN,33.5074
LCGK,33.7201
LCLK,33.6249
LCPH,32.4857
LCRA,32.9879
LDDU,18.2655
LDOS,18.8113
LDPL,13.9222
LDRI,14.5709
LDSB,16.6784
LDSP,16.298
LDZA,16.0688
LDZD,15.3536
LEAB,-1.8635
LEAL,-0.5582
LEAM,-2.3701
LEAS,-6.0346
LEBA,-4.8489
LEBB,-2.9106
LEBG,-3.6208
LEBL,2.0785
LEBZ,-6.8213
LECH,0.0733
LECO,-8.3773
LECU,-3.7851
LEDA,0.535
LEGE,2.7618
LEGR,-3.7774
LEGT,-3.7238
LEIB,1.3731
LEJR,-6.0601
LELC,-0.8124
LELN,-5.6534
LEMD,-3.5722
LEMG,-4.4991
LEMH,4.2187
LEMI,-1.1249
LEMO,-5.6159
LEPA,2.7388
LEPP,-1.6463
LERJ,-2.3222
LERL,-3.9699
LERS,1.1684
LERT,-6.3495
LESA,-5.502
LESO,-1.7906
LEST,-8.4151
LESU,1.4092
LETL,-1.2174
LETO,-3.4568
LEVC,-0.481
LEVD,-4.8519
LEVT,-2.7245
LEVX,-8.6268
LEXJ,-3.82
LEZG,-1.0415
LEZL,-5.8931
LFAC,1.9548
LFAG,3.0296
LFAT,1.6217
LFAV,3.4611
LFAY,2.3871
LFBA,0.5931
LFBD,-0.7154
LFBE,0.5186
LFBF,1.3675
LFBG,-0.3175
LFBH,-1.1953
LFBI,0.3067
LFBK,2.364
LFBL,1.1794
LFBM,-0.5075
LFBN,-0.3945
LFBO,1.3638
LFBP,-0.4186
LFBT,-0.0064
LFBU,0.2215
LFBX,0.8156
LFBZ,-1.5232
LFCC,1.4753
LFCI,2.1131
LFCK,2.2892
LFCR,2.4827
LFCY,-0.9725
LFDH,0.5997
LFDN,-0.9831
LFGA,7.359
LFGJ,5.4276
LFGW,5.4691
LFHO,4.3722
LFJL,6.2513
LFJR,-0.3122
LFKB,9.4837
LFKC,8.793
LFKF,9.0971
LFKJ,8.8029
LFKS,9.406
LFLA,3.4971
LFLB,5.8802
LFLC,3.1692
LFLD,2.3696
LFLI,6.2684
LFLL,5.0901
LFLN,4.0142
LFLO,3.999
LFLP,6.0987
LFLS,5.3294
LFLU,4.9699
LFLV,3.4036
LFLW,2.4219
LFLX,1.7283
LFLY,4.944
LFMD,6.9552
LFMH,4.2964
LFMI,4.9238
LFMK,2.3063
LFML,5.2125
LFMN,7.2159
LFMO,4.8667
LFMP,2.8707
LFMQ,5.7852
LFMS,4.1421
LFMT,3.963
LFMU,3.3539
LFMV,4.9018
LFNB,3.5328
LFOB,2.1128
LFOE,1.2199
LFOH,0.0884
LFOI,1.8319
LFOK,4.2061
LFOP,1.1791
LFOT,0.7276
LFOV,-0.744
LFPB,2.4365
LFPC,2.5191
LFPG,2.5541
LFPN,2.1062
LFPO,2.359
LFPT,2.0355
LFQG,3.1131
LFQQ,3.1024
LFQT,2.6422
LFQV,4.6471
LFRB,-4.4185
LFRC,-1.4703
LFRD,-2.08
LFRE,-2.3464
LFRF,-1.5642
LFRG,0.1545
LFRH,-3.44
LFRI,-1.3786
LFRJ,-4.1516
LFRK,-0.4549
LFRM,0.2017
LFRN,-1.7348
LFRO,-3.4717
LFRQ,-4.1697
LFRS,-1.6107
LFRT,-2.8535
LFRU,-3.8158
LFRV,-2.7186
LFRZ,-2.1526
LFSB,7.5211
LFSD,5.09
LFSG,6.07
LFSL,1.4856
LFSN,6.2305
LFST,7.6282
LFTH,6.146
LFTW,4.4164
LFVP,-56.175
LGAD,21.2926
LGAL,25.9563
LGAV,23.9445
LGBL,22.7943
LGEL,23.556
LGHI,26.1406
LGIO,20.8225
LGIR,25.1803
LGKF,20.5005
LGKL,22.0255
LGKO,27.0911
LGKP,27.146
LGKR,19.9122
LGKV,24.6192
LGKZ,21.8408
LGMK,25.3481
LGMT,26.5986
LGPZ,20.7653
LGRP,28.0862
LGRX,21.4256
LGSA,24.1507
LGSK,23.5037
LGSM,26.9117
LGSR,25.4786
LGST,26.1013
LGTG,23.565
LGTL,25.3266
LGTS,22.97
LGZA,20.8843
LHBP,19.2624
LHDC,21.6163
LHKA,18.9423
LHKE,19.7492
LHPP,18.242
LHPR,17.8047
LHSM,17.1591
LHSN,20.2355
LHTL,18.9808
LIBA,15.7172
LIBC,17.0802
LIBD,16.7606
LIBF,15.5346
LIBG,17.4032
LIBN,18.1333
LIBP,14.183
LIBR,17.947
LIBV,16.9333
LICA,16.246
LICB,14.6089
LICC,15.0664
LICD,12.6181
LICG,11.9689
LICJ,13.091
LICP,13.3134
LICR,15.6516
LICT,12.488
LICZ,14.9224
LIDT,11.125
LIEA,8.2908
LIED,8.9725
LIEE,9.0543
LIEO,9.5185
LIET,9.683
LILN,8.8882
LIMA,7.6031
LIMC,8.7281
LIME,9.7089
LIMF,7.6496
LIMG,8.1274
LIMJ,8.8407
LIML,9.2767
LIMN,8.6692
LIMP,10.2971
LIMS,9.7223
LIMW,7.3683
LIMZ,7.623
LIPA,12.5965
LIPB,11.3261
LIPC,12.3072
LIPE,11.2887
LIPH,12.1944
LIPI,13.0493
LIPK,12.0701
LIPL,10.2686
LIPO,10.3306
LIPQ,13.4667
LIPR,12.6122
LIPS,12.0866
LIPU,11.8471
LIPX,10.8873
LIPY,13.3623
LIPZ,12.3519
LIQS,11.2551
LIQW,9.9879
LIRA,12.5953
LIRE,12.4452
LIRF,12.252
LIRG,12.7408
LIRI,14.9113
LIRJ,10.2398
LIRL,12.909
LIRM,14.0819
LIRN,14.2908
LIRP,10.3927
LIRQ,11.2028
LIRS,11.0719
LIRU,12.5022
LIRV,12.0614
LIRZ,12.5132
LJLJ,14.4576
LJMB,15.6861
LJPZ,13.616
LKCS,14.4283
LKCV,15.3818
LKKB,14.5436
LKKU,17.4397
LKKV,12.915
LKLN,13.2746
LKMT,18.1111
LKNA,16.124
LKPD,15.7398
LKPO,17.4047
LKPR,14.2599
LKTB,16.694
LKVO,14.3958
LLBG,34.8867
LLEK,34.8218
LLER,35.0141
LLHA,35.0437
LLIB,35.5719
LLMZ,35.3886
LLNV,35.0123
LLRD,35.1795
LLRM,34.6667
LMML,14.4915
LOAN,16.2601
LOWG,15.4396
LOWI,11.344
LOWK,14.3377
LOWL,14.1881
LOWS,13.0043
LOWW,16.5697
LOXN,16.2218
LOXZ,14.7442
LPAR,-9.0301
LPAZ,-25.1706
LPBG,-6.7071
LPBJ,-7.9324
LPBR,-8.4452
LPCB,-7.4399
LPCO,-8.4708
LPCS,-9.3552
LPFL,-31.1314
LPFR,-7.9709
LPGR,-28.0298
LPHR,-28.7159
LPLA,-27.0908
LPMA,-16.7746
LPMR,-8.8875
LPPD,-25.6979
LPPI,-28.4413
LPPM,-8.584
LPPR,-8.6814
LPPS,-16.35
LPPT,-9.1359
LPSJ,-28.1758
LPSO,-8.0578
LPVL,-8.5162
LPVR,-7.7205
LPVZ,-7.889
LQBK,17.2975
LQMO,17.8461
LQSA,18.3315
LQTZ,18.7236
LRAR,21.2643
LRBC,26.9103
LRBM,23.4644
LRBO,26.9786
LRBS,26.1029
LRBV,25.5229
LRCK,28.4883
LRCL,23.6857
LRCS,22.2525
LRCT,23.8859
LRCV,23.8886
LRFT,27.7267
LRIA,27.6214
LROD,21.9025
LROP,26.1033
LRSB,24.0867
LRSM,22.8857
LRSV,26.3541
LRTC,28.7143
LRTM,24.4125
LRTR,21.3379
LSGC,6.7928
LSGG,6.109
LSGS,7.3269
LSMA,8.2842
LSMD,8.6482
LSME,8.3052
LSMP,6.9151
LSZA,8.9106
LSZB,7.4988
LSZG,7.4172
LSZH,8.5481
LSZR,9.5608
LSZS,9.8841
LTAC,32.9951
LTAD,32.6886
LTAE,32.5656
LTAG,35.4259
LTAH,30.6011
LTAI,30.8005
LTAJ,37.4787
LTAL,33.7958
LTAN,32.5619
LTAP,35.522
LTAR,36.9035
LTAS,32.0886
LTAT,38.091
LTAU,35.4954
LTAV,31.3653
LTAW,36.3906
LTAY,29.7013
LTAZ,34.5345
LTBA,28.8237
LTBF,27.926
LTBG,27.9777
LTBH,26.4268
LTBI,30.5821
LTBJ,27.157
LTBN,30.0169
LTBO,29.4717
LTBQ,30.0833
LTBR,29.5626
LTBS,28.7925
LTBT,27.8339
LTBU,27.9191
LTBY,30.5193
LTBZ,30.1304
LTCA,39.2835
LTCB,38.086
LTCC,40.201
LTCD,39.527
LTCE,41.1702
LTCF,43.115
LTCG,39.7897
LTCI,43.3323
LTCJ,41.1166
LTCK,41.6612
LTCL,41.8404
LTCM,35.0718
LTCN,36.9535
LTCO,43.0257
LTCP,38.4689
LTCR,40.6317
LTCS,38.8956
LTCT,43.8766
LTCU,40.5945
LTCV,42.0582
LTCW,44.2381
LTDA,36.2856
LTDB,35.0712
LTFC,30.3684
LTFD,27.0102
LTFE,27.664
LTFG,32.297
LTFH,36.5675
LTFJ,29.3092
LTFM,28.7321
LTFO,40.8488
LUBL,27.7811
LUBM,28.2128
LUCH,28.2637
LUKK,28.9317
LUTR,29.5906
LWOH,20.7423
LWSK,21.6226
LXGB,-5.3498
LYBE,20.3091
LYBT,20.2575
LYKV,20.5867
LYNI,21.8562
LYPG,19.2519
LYTV,18.7233
LYUZ,19.6977
LZIB,17.2127
LZKZ,21.2411
LZMC,17.1184
LZPP,17.8284
LZSL,19.1341
LZTT,20.2414
LZZI,18.6134
MBGT,-71.1423
MBNC,-71.943
MBPV,-72.2683
MBSC,-71.5285
MDBH,-71.1204
MDCR,-71.6448
MDCY,-69.7374
MDJB,-69.9856
MDLR,-68.9111
MDPC,-68.3646
MDPP,-70.57
MDSD,-69.6689
MDST,-70.6044
MGCB,-90.4067
MGGT,-90.5275
MGMM,-89.8661
MGPB,-88.5838
MGRB,-90.4453
MGRT,-91.697
MGSJ,-90.8358
MHLC,-86.853
MHLM,-87.9236
MHNJ,-85.9066
MHPR,-87.6212
MHRO,-86.523
MHTE,-87.4758
MHTG,-87.2172
MHTJ,-85.9386
MKBS,-76.9698
MKJP,-76.7875
MKJS,-77.9132
MKKJ,-76.5345
MKTP,-76.8238
MMAA,-99.7531
MMAN,-100.237
MMAS,-102.3184
MMBT,-96.2605
MMCB,-99.2618
MMCC,-101.1006
MMCE,-91.7994
MMCL,-107.4752
MMCM,-88.328
MMCN,-109.833
MMCP,-90.5001
MMCS,-106.4285
MMCU,-105.9638
MMCV,-98.9565
MMCY,-100.8865
MMCZ,-86.9285
MMDO,-104.5279
MMEP,-104.8425
MMES,-116.6024
MMGL,-103.3101
MMGM,-110.925
MMHO,-111.053
MMIA,-103.577
MMIO,-100.9283
MMIT,-95.0937
MMJA,-96.797
MMLC,-102.2203
MMLM,-109.0812
MMLO,-101.4803
MMLP,-110.3627
MMLT,-111.3484
MMMA,-97.5253
MMMD,-89.6455
MMML,-115.2428
MMMM,-101.025
MMMT,-94.5807
MMMV,-101.47
MMMX,-99.0703
MMMY,-100.107
MMMZ,-106.2645
MMNG,-110.9769
MMNL,-99.5705
MMOX,-96.7261
MMPA,-97.4608
MMPB,-98.3716
MMPG,-100.5352
MMPN,-102.039
MMPR,-105.2544
MMPS,-97.0891
MMQT,-100.1864
MMRX,-98.2285
MMSD,-109.7207
MMSL,-109.9395
MMSM,-99.0151
MMSP,-100.9357
MMTB,-93.1733
MMTC,-103.4046
MMTG,-93.0257
MMTJ,-116.97
MMTL,-87.6603
MMTM,-97.8671
MMTO,-99.5658
MMTP,-92.3699
MMUN,-86.8735
MMVA,-92.8182
MMVR,-96.1886
MMZC,-102.6872
MMZH,-101.4606
MMZO,-104.559
MNBL,-83.7741
MNMG,-86.1682
MNPC,-83.3867
MPBO,-82.2508
MPCE,-80.4098
MPCH,-82.5151
MPDA,-82.4364
MPEJ,-79.8674
MPMG,-79.5556
MPSA,-80.9453
MPTO,-79.3835
MRAN,-84.5791
MRAO,-83.6095
MRBA,-83.3302
MRBC,-83.5856
MRCC,-82.9688
MRGF,-83.1822
MRGP,-83.797
MRLB,-85.5444
MRLC,-84.7061
MRLM,-83.022
MRNS,-85.653
MROC,-84.2088
MRPJ,-83.3
MRPM,-83.4686
MRPV,-84.1398
MRQP,-84.1298
MRUP,-85.0162
MSLP,-89.0558
MSSS,-89.1199
MTCA,-73.7883
MTCH,-72.2007
MTJA,-72.5185
MTJE,-74.1703
MTPP,-72.2926
MTPX,-72.848
MUBA,-74.5062
MUBY,-76.6214
MUCA,-78.7896
MUCC,-78.3284
MUCF,-80.4142
MUCL,-81.546
MUCM,-77.848
MUCU,-75.8355
MUGM,-75.2071
MUGT,-75.1583
MUHA,-82.4091
MUHG,-76.3155
MUKW,-81.3016
MUMO,-74.9222
MUMZ,-77.0875
MUNG,-82.7838
MUPB,-82.5794
MUSC,-79.9431
MUSJ,-84.1574
MUSN,-82.9551
MUTD,-79.9972
MUVR,-81.4353
MUVT,-76.9358
MWCB,-79.8828
MWCL,-80.0888
MWCR,-81.3577
MYAB,-77.6846
MYAF,-77.7956
MYAK,-77.5898
MYAM,-77.0843
MYAN,-78.049
MYAP,-73.9709
MYAT,-77.3913
MYBC,-77.8809
MYBG,-77.8401
MYBS,-79.2647
MYCA,-75.6738
MYCB,-75.4523
MYCI,-74.1824
MYEF,-75.878
MYEH,-76.6808
MYEM,-76.331
MYEN,-76.8202
MYER,-76.1776
MYES,-76.4391
MYGF,-78.6956
MYIG,-73.6669
MYLD,-75.0936
MYLS,-75.2686
MYMM,-73.0135
MYNN,-77.4662
MYRD,-75.7295
MYSM,-74.5232
MZBE,-88.1958
MZBZ,-88.3036
MZCK,-88.0329
MZCP,-88.045
MZCZ,-88.4119
MZPB,-88.231
MZPL,-88.3615
MZSP,-87.9711
NCRG,-159.806
NFFN,177.4378
NFNA,178.5615
NFNL,179.34
NFTF,-175.1492
NFTL,-174.341
NFTV,-173.962
NGFU,179.197
NGTA,173.147
NGTE,174.776
NIUE,-169.9235
NLWW,-176.1986
NSFA,-172.008
NSTU,-170.71
NTAA,-149.6069
NTAR,-151.361
NTAT,-149.524
NTGA,-145.51
NTGB,-140.8881
NTGC,-148.231
NTGE,-136.4385
NTGF,-145.657
NTGI,-146.07
NTGJ,-134.89
NTGK,-146.885
NTGM,-143.658
NTGT,-145.246
NTGU,-146.617
NTGV,-148.717
NTHE,-146.257
NTKR,-145.025
NTMD,-140.229
NTMN,-139.011
NTTB,-151.751
NTTG,-147.661
NTTH,-151.0216
NTTM,-149.7618
NTTO,-140.946
NTTP,-152.244
NTTR,-151.466
NVSQ,167.587
NVSS,167.22
NVVV,168.32
NVVW,169.224
NWWA,167.8038
NWWD,164.8388
NWWE,167.456
NWWL,167.2393
NWWM,166.4728
NWWR,168.0385
NWWU,165.2595
NWWV,166.573
NWWW,166.213
NZAA,174.7863
NZAP,176.084
NZAR,174.973
NZCH,172.5321
NZCI,-176.4651
NZDN,170.1978
NZGS,177.978
NZGT,170.128
NZHK,170.985
NZHN,175.332
NZKK,173.9133
NZKT,173.2871
NZLX,169.3711
NZMC,170.133
NZMO,167.65
NZMS,175.6345
NZNP,174.179
NZNR,176.87
NZNS,173.2243
NZNV,168.313
NZOH,175.388
NZOU,171.082
NZPM,175.617
NZPP,174.989
NZQN,168.7464
NZRO,176.317
NZSP,-1.0
NZTG,176.196
NZTU,171.225
NZUK,170.118
NZWB,173.87
NZWF,169.2463
NZWK,176.917
NZWN,174.8069
NZWO,177.4044
NZWP,174.63
NZWR,174.3637
NZWS,171.579
NZWU,175.0244
