icao,lon
DAOI,1.3411
DAOL,-0.5323
DAON,-1.4571
DAOO,-0.6225
DAOR,-2.2699
DAOV,0.1471
DATM,0.927
DAUA,-0.1864
DAUB,5.7389
DAUE,2.8616
DAUG,3.7941
DAUH,6.1404
DAUI,2.512
DAUK,6.0887
DAUL,2.9283
DAUO,6.7768
DAUT,0.276
DAUU,5.4128
DAUZ,9.6429
DBBB,2.3843
DFFD,-1.5124
DFOO,-4.331
DGAA,-0.1668
DGAH,0.5325
DGLE,-0.8661
DGSI,-1.5908
DGSN,-2.3288
DGTK,-1.7748
DIAP,-3.9263
DIBK,-5.0737
DIDL,-6.4732
DIKO,-5.5567
DIMN,-7.5874
DISP,-6.6608
DIYO,-5.3656
DNAA,7.2632
DNAI,8.093
DNAK,5.301
DNAS,6.6653
DNBC,9.744
DNBE,5.5995
DNBK,4.3691
DNBY,6.2033
DNCA,8.3472
DNEN,7.5605
DNGO,10.9
DNGU,6.6961
DNIB,3.9783
DNIL,4.4939
DNIM,7.206
DNJO,8.8691
DNKA,7.3201
DNKN,8.5236
DNKT,7.6604
DNMA,13.0807
DNMK,8.6139
DNMM,3.3212
DNMN,6.4623
DNPM,7.0214
DNPO,6.9496
DNSO,5.2075
DNSU,5.8187
DNYO,12.4304
DNZA,7.6858
DRRM,7.1268
DRRN,2.1836
DRRT,5.2654
DRZA,8.0001
DRZR,8.9838
DTKA,8.8769
DTMB,10.7547
DTNH,10.4386
DTTA,10.2272
DTTB,9.787
DTTD,10.3821
DTTF,8.8225
DTTG,9.9194
DTTJ,10.7773
DTTR,9.2546
DTTX,10.691
DTTZ,8.1106
DXNG,1.0909
DXXX,1.2545
EBAW,4.4632
EBBE,4.7683
EBBR,4.4844
EBCI,4.4596
EBCV,3.831
EBFN,2.6528
EBKT,3.2096
EBLG,5.4439
EBOS,2.8747
EDAC,12.5064
EDAH,14.1523
EDBN,13.306
EDBR,14.95
EDDB,13.5023
EDDC,13.7678
EDDE,10.9607
EDDF,8.5584
EDDG,7.6885
EDDH,9.9882
EDDK,7.1427
EDDL,6.7668
EDDM,11.7861
EDDN,11.0781
EDDP,12.2327
EDDR,7.1097
EDDS,9.222
EDDV,9.6851
EDDW,8.7893
EDFE,8.643
EDFH,7.2617
EDFM,8.5142
EDFZ,8.1472
EDGE,10.4797
EDGS,8.083
EDHI,9.8356
EDHK,10.1453
EDHL,10.7192
EDJA,10.2382
EDLI,8.5444
EDLN,6.5044
EDLP,8.6175
EDLV,6.1412
EDLW,7.6122
EDMA,10.9317
EDML,12.0349
EDMO,11.2831
EDNY,9.5115
EDQA,10.9142
EDQD,11.64
EDQM,11.8529
EDSB,8.0805
EDTL,7.8277
EDUZ,12.1486
EDVE,10.5561
EDVK,9.3916
EDXW,8.3405
EEEI,24.2048
EEKA,22.8307
EEKE,22.5095
EEPU,24.4728
EETN,24.8326
EETU,26.6865
EFET,23.4243
EFHA,24.7867
EFHK,24.9633
EFIT,30.0736
EFIV,27.4053
EFJO,29.6194
EFJY,25.6783
EFKA,23.0514
EFKE,24.5821
EFKI,27.6924
EFKJ,22.3908
EFKK,23.1431
EFKS,29.2394
EFKT,24.8468
EFKU,27.7978
EFLP,28.1447
EFMA,19.8982
EFMI,27.2018
EFOU,25.3546
EFPO,21.8
EFRO,25.8298
EFSA,28.9451
EFSI,22.8323
EFSO,26.6191
EFTP,23.6044
EFTU,22.2628
EFUT,26.9384
EFVA,21.7625
EFVR,27.8686
EFYL,24.7253
EGAA,-6.2158
EGAB,-7.6512
EGAC,-5.8725
EGAE,-7.1611
EGBB,-1.748
EGBJ,-2.1672
EGBN,-1.0792
EGCC,-2.2795
EGCM,-1.1947
EGDY,-2.6388
EGEC,-5.6864
EGED,-2.7722
EGFE,-4.9611
EGFF,-3.3433
EGFH,-4.071
EGGD,-2.7165
EGGP,-2.8496
EGGW,-0.3683
EGHH,-1.8396
EGHI,-1.3568
EGHL,-1.0317
EGHQ,-4.9954
EGJA,-2.2147
EGJB,-2.602
EGJJ,-2.1955
EGKA,-0.2972
EGKB,0.0325
EGKK,-0.1857
EGLC,0.0553
EGLF,-0.7763
EGLK,-0.8475
EGLL,-0.4599
EGMC,0.6936
EGMD,0.9391
EGNC,-2.8092
EGNH,-3.0286
EGNJ,-0.3495
EGNL,-3.2675
EGNM,-1.6606
EGNO,-2.8831
EGNR,-2.9778
EGNS,-4.6239
EGNT,-1.6896
EGNV,-1.4294
EGNX,-1.3281
EGOS,-2.668
EGOV,-4.5353
EGPA,-2.9051
